ZIP,raw_incident_count,active_agencies,incidents_per_agency,YEAR
22204,440,3,146.66666666666666,2017
22314,6245,1,6245.0,2017
22401,3154,3,1051.3333333333333,2017
22408,249,2,124.5,2017
22427,1246,3,415.3333333333333,2017
22443,132,1,132.0,2017
22473,292,1,292.0,2017
22482,53,1,53.0,2017
22485,986,1,986.0,2017
22503,305,1,305.0,2017
22520,341,1,341.0,2017
22553,4468,1,4468.0,2017
22555,6006,1,6006.0,2017
22560,333,2,166.5,2017
22572,255,6,42.5,2017
22578,6,1,6.0,2017
22601,1977,1,1977.0,2017
22602,3791,4,947.75,2017
22611,295,2,147.5,2017
22630,1465,2,732.5,2017
22645,14,1,14.0,2017
22655,172,2,86.0,2017
22657,250,1,250.0,2017
22664,1265,2,632.5,2017
22701,1923,5,384.6,2017
22727,296,1,296.0,2017
22747,88,1,88.0,2017
22801,1583,3,527.6666666666666,2017
22802,2557,1,2557.0,2017
22807,260,1,260.0,2017
22812,57,1,57.0,2017
22815,40,1,40.0,2017
22821,15,1,15.0,2017
22827,84,1,84.0,2017
22835,1201,4,300.25,2017
22842,98,1,98.0,2017
22844,54,1,54.0,2017
22849,78,1,78.0,2017
22851,45,1,45.0,2017
22853,14,1,14.0,2017
22901,50,1,50.0,2017
22902,6062,2,3031.0,2017
22903,603,4,150.75,2017
22942,35,1,35.0,2017
22949,510,1,510.0,2017
22960,653,2,326.5,2017
22963,511,1,511.0,2017
22973,680,1,680.0,2017
22980,1355,2,677.5,2017
23002,441,1,441.0,2017
23005,681,2,340.5,2017
23030,126,1,126.0,2017
23040,175,1,175.0,2017
23061,1598,4,399.5,2017
23063,511,1,511.0,2017
23069,3421,1,3421.0,2017
23085,173,1,173.0,2017
23086,180,1,180.0,2017
23093,980,2,490.0,2017
23109,202,1,202.0,2017
23117,78,2,39.0,2017
23124,766,1,766.0,2017
23139,893,4,223.25,2017
23149,310,1,310.0,2017
23173,241,1,241.0,2017
23181,130,5,26.0,2017
23185,606,2,303.0,2017
23187,3035,5,607.0,2017
23218,56,1,56.0,2017
23219,35,1,35.0,2017
23220,19386,1,19386.0,2017
23223,417,2,208.5,2017
23230,455,1,455.0,2017
23250,108,1,108.0,2017
23261,946,3,315.3333333333333,2017
23273,16122,1,16122.0,2017
23284,1210,1,1210.0,2017
23285,18,1,18.0,2017
23301,820,1,820.0,2017
23310,29,1,29.0,2017
23320,168,3,56.0,2017
23322,14715,1,14715.0,2017
23336,96,1,96.0,2017
23347,189,2,94.5,2017
23350,51,1,51.0,2017
23397,739,1,739.0,2017
23410,138,1,138.0,2017
23417,54,1,54.0,2017
23418,31,1,31.0,2017
23421,9,1,9.0,2017
23430,387,1,387.0,2017
23434,5990,1,5990.0,2017
23456,21502,1,21502.0,2017
23487,118,1,118.0,2017
23504,264,1,264.0,2017
23505,2,1,2.0,2017
